CRD089-1_S180_L004_R1_001 CRD089-1_S180_L004_R2_001 CRD089-1_S180
CRD089-2_S181_L004_R1_001 CRD089-2_S181_L004_R2_001 CRD089-2_S181
CRD090-1_S402_L003_R1_001 CRD090-1_S402_L003_R2_001 CRD090-1_S402
CRD090-2_S403_L003_R1_001 CRD090-2_S403_L003_R2_001 CRD090-2_S403
CRD092-1_S404_L003_R1_001 CRD092-1_S404_L003_R2_001 CRD092-1_S404
CRD092-2_S405_L003_R1_001 CRD092-2_S405_L003_R2_001 CRD092-2_S405
CRD093-1_S406_L003_R1_001 CRD093-1_S406_L003_R2_001 CRD093-1_S406
CRD093-2_S407_L003_R1_001 CRD093-2_S407_L003_R2_001 CRD093-2_S407
CRD094-1_S408_L003_R1_001 CRD094-1_S408_L003_R2_001 CRD094-1_S408
CRD094-2_S409_L003_R1_001 CRD094-2_S409_L003_R2_001 CRD094-2_S409
CRD095-1_S410_L003_R1_001 CRD095-1_S410_L003_R2_001 CRD095-1_S410
CRD095-2_S411_L003_R1_001 CRD095-2_S411_L003_R2_001 CRD095-2_S411
CRD096-1_S412_L003_R1_001 CRD096-1_S412_L003_R2_001 CRD096-1_S412
CRD096-2_S413_L003_R1_001 CRD096-2_S413_L003_R2_001 CRD096-2_S413
CRD097-1_S182_L004_R1_001 CRD097-1_S182_L004_R2_001 CRD097-1_S182
CRD097-2_S183_L004_R1_001 CRD097-2_S183_L004_R2_001 CRD097-2_S183
CRD098-1_S414_L003_R1_001 CRD098-1_S414_L003_R2_001 CRD098-1_S414
CRD098-2_S415_L003_R1_001 CRD098-2_S415_L003_R2_001 CRD098-2_S415
CRD099-1_S416_L003_R1_001 CRD099-1_S416_L003_R2_001 CRD099-1_S416
CRD099-2_S417_L003_R1_001 CRD099-2_S417_L003_R2_001 CRD099-2_S417
CRD099-3_S418_L003_R1_001 CRD099-3_S418_L003_R2_001 CRD099-3_S418
CRD100-1_S419_L003_R1_001 CRD100-1_S419_L003_R2_001 CRD100-1_S419
CRD100-2_S420_L003_R1_001 CRD100-2_S420_L003_R2_001 CRD100-2_S420
CRD100-3_S421_L003_R1_001 CRD100-3_S421_L003_R2_001 CRD100-3_S421
CRD101-1_S184_L004_R1_001 CRD101-1_S184_L004_R2_001 CRD101-1_S184
CRD101-2_S185_L004_R1_001 CRD101-2_S185_L004_R2_001 CRD101-2_S185
CRD101-3_S186_L004_R1_001 CRD101-3_S186_L004_R2_001 CRD101-3_S186
CRD102-1_S187_L004_R1_001 CRD102-1_S187_L004_R2_001 CRD102-1_S187
CRD102-2_S188_L004_R1_001 CRD102-2_S188_L004_R2_001 CRD102-2_S188
CRD102-3_S189_L004_R1_001 CRD102-3_S189_L004_R2_001 CRD102-3_S189
CRD103-1_S190_L004_R1_001 CRD103-1_S190_L004_R2_001 CRD103-1_S190
CRD103-2_S191_L004_R1_001 CRD103-2_S191_L004_R2_001 CRD103-2_S191
CRD104-1_S192_L004_R1_001 CRD104-1_S192_L004_R2_001 CRD104-1_S192
CRD104-2_S193_L004_R1_001 CRD104-2_S193_L004_R2_001 CRD104-2_S193
CRD105-1_S194_L004_R1_001 CRD105-1_S194_L004_R2_001 CRD105-1_S194
CRD105-2_S195_L004_R1_001 CRD105-2_S195_L004_R2_001 CRD105-2_S195
CRD105-3_S196_L004_R1_001 CRD105-3_S196_L004_R2_001 CRD105-3_S196
CRD106-1_S197_L004_R1_001 CRD106-1_S197_L004_R2_001 CRD106-1_S197
